0,250,500,750,1000,1250
33,283,533,783,1033,1283
1533,1783,2033,2283,2533,2783
34,284,534,784,1034,1284
1534,1784,2034,2284,2534,2784
35,285,535,785,1035,1285
1535,1785,2035,2285,2535,2785
36,286,536,786,1036,1286
1536,1786,2036,2286,2536,2786
37,287,537,787,1037,1287
1537,1787,2037,2287,2537,2787
38,288,538,788,1038,1288
1538,1788,2038,2288,2538,2788
39,289,539,789,1039,1289
1539,1789,2039,2289,2539,2789
40,290,540,790,1040,1290
1540,1790,2040,2290,2540,2790
41,291,541,791,1041,1291
1541,1791,2041,2291,2541,2791
42,292,542,792,1042,1292
1542,1792,2042,2292,2542,2792
43,293,543,793,1043,1293
1543,1793,2043,2293,2543,2793
44,294,544,794,1044,1294
1544,1794,2044,2294,2544,2794
45,295,545,795,1045,1295
1545,1795,2045,2295,2545,2795
46,296,546,796,1046,1296
1546,1796,2046,2296,2546,2796
47,297,547,797,1047,1297
1547,1797,2047,2297,2547,2797
48,298,548,798,1048,1298
1548,1798,2048,2298,2548,2798
49,299,549,799,1049,1299
1549,1799,2049,2299,2549,2799
50,300,550,800,1050,1300
1550,1800,2050,2300,2550,2800
51,301,551,801,1051,1301
1551,1801,2051,2301,2551,2801
52,302,552,802,1052,1302
1552,1802,2052,2302,2552,2802
53,303,553,803,1053,1303
1553,1803,2053,2303,2553,2803
54,304,554,804,1054,1304
1554,1804,2054,2304,2554,2804
55,305,555,805,1055,1305
1555,1805,2055,2305,2555,2805
56,306,556,806,1056,1306
1556,1806,2056,2306,2556,2806
57,307,557,807,1057,1307
1557,1807,2057,2307,2557,2807
58,308,558,808,1058,1308
1558,1808,2058,2308,2558,2808
59,309,559,809,1059,1309
1559,1809,2059,2309,2559,2809
60,310,560,810,1060,1310
1560,1810,2060,2310,2560,2810
61,311,561,811,1061,1311
1561,1811,2061,2311,2561,2811
62,312,562,812,1062,1312
1562,1812,2062,2312,2562,2812
63,313,563,813,1063,1313
1563,1813,2063,2313,2563,2813
64,314,564,814,1064,1314
1564,1814,2064,2314,2564,2814
65,315,565,815,1065,1315
1565,1815,2065,2315,2565,2815
66,316,566,816,1066,1316
1566,1816,2066,2316,2566,2816
67,317,567,817,1067,1317
1567,1817,2067,2317,2567,2817
68,318,568,818,1068,1318
1568,1818,2068,2318,2568,2818
69,319,569,819,1069,1319
1569,1819,2069,2319,2569,2819
70,320,570,820,1070,1320
1570,1820,2070,2320,2570,2820
71,321,571,821,1071,1321
1571,1821,2071,2321,2571,2821
72,322,572,822,1072,1322
1572,1822,2072,2322,2572,2822
73,323,573,823,1073,1323
1573,1823,2073,2323,2573,2823
74,324,574,824,1074,1324
1574,1824,2074,2324,2574,2824
75,325,575,825,1075,1325
1575,1825,2075,2325,2575,2825
76,326,576,826,1076,1326
1576,1826,2076,2326,2576,2826
77,327,577,827,1077,1327
1577,1827,2077,2327,2577,2827
78,328,578,828,1078,1328
1578,1828,2078,2328,2578,2828
79,329,579,829,1079,1329
1579,1829,2079,2329,2579,2829
80,330,580,830,1080,1330
1580,1830,2080,2330,2580,2830
81,331,581,831,1081,1331
1581,1831,2081,2331,2581,2831
82,332,582,832,1082,1332
1582,1832,2082,2332,2582,2832
83,333,583,833,1083,1333
1583,1833,2083,2333,2583,2833
84,334,584,834,1084,1334
1584,1834,2084,2334,2584,2834
85,335,585,835,1085,1335
1585,1835,2085,2335,2585,2835
86,336,586,836,1086,1336
1586,1836,2086,2336,2586,2836
87,337,587,837,1087,1337
1587,1837,2087,2337,2587,2837
88,338,588,838,1088,1338
1588,1838,2088,2338,2588,2838
89,339,589,839,1089,1339
1589,1839,2089,2339,2589,2839
90,340,590,840,1090,1340
1590,1840,2090,2340,2590,2840
91,341,591,841,1091,1341
1591,1841,2091,2341,2591,2841
92,342,592,842,1092,1342
1592,1842,2092,2342,2592,2842
93,343,593,843,1093,1343
1593,1843,2093,2343,2593,2843
94,344,594,844,1094,1344
1594,1844,2094,2344,2594,2844
95,345,595,845,1095,1345
1595,1845,2095,2345,2595,2845
96,346,596,846,1096,1346
1596,1846,2096,2346,2596,2846
97,347,597,847,1097,1347
1597,1847,2097,2347,2597,2847
98,348,598,848,1098,1348
1598,1848,2098,2348,2598,2848
99,349,599,849,1099,1349
1599,1849,2099,2349,2599,2849
100,350,600,850,1100,1350
1600,1850,2100,2350,2600,2850
101,351,601,851,1101,1351
1601,1851,2101,2351,2601,2851
102,352,602,852,1102,1352
1602,1852,2102,2352,2602,2852
103,353,603,853,1103,1353
1603,1853,2103,2353,2603,2853
104,354,604,854,1104,1354
1604,1854,2104,2354,2604,2854
105,355,605,855,1105,1355
1605,1855,2105,2355,2605,2855
106,356,606,856,1106,1356
1606,1856,2106,2356,2606,2856
107,357,607,857,1107,1357
1607,1857,2107,2357,2607,2857
108,358,608,858,1108,1358
1608,1858,2108,2358,2608,2858
109,359,609,859,1109,1359
1609,1859,2109,2359,2609,2859
110,360,610,860,1110,1360
1610,1860,2110,2360,2610,2860
111,361,611,861,1111,1361
1611,1861,2111,2361,2611,2861
112,362,612,862,1112,1362
1612,1862,2112,2362,2612,2862
113,363,613,863,1113,1363
1613,1863,2113,2363,2613,2863
114,364,614,864,1114,1364
1614,1864,2114,2364,2614,2864
115,365,615,865,1115,1365
1615,1865,2115,2365,2615,2865
116,366,616,866,1116,1366
1616,1866,2116,2366,2616,2866
117,367,617,867,1117,1367
1617,1867,2117,2367,2617,2867
118,368,618,868,1118,1368
1618,1868,2118,2368,2618,2868
119,369,619,869,1119,1369
1619,1869,2119,2369,2619,2869
120,370,620,870,1120,1370
1620,1870,2120,2370,2620,2870
121,371,621,871,1121,1371
1621,1871,2121,2371,2621,2871
122,372,622,872,1122,1372
1622,1872,2122,2372,2622,2872
123,373,623,873,1123,1373
1623,1873,2123,2373,2623,2873
124,374,624,874,1124,1374
1624,1874,2124,2374,2624,2874
125,375,625,875,1125,1375
1625,1875,2125,2375,2625,2875
126,376,626,876,1126,1376
1626,1876,2126,2376,2626,2876
127,377,627,877,1127,1377
1627,1877,2127,2377,2627,2877
128,378,628,878,1128,1378
1628,1878,2128,2378,2628,2878
129,379,629,879,1129,1379
1629,1879,2129,2379,2629,2879
130,380,630,880,1130,1380
1630,1880,2130,2380,2630,2880
131,381,631,881,1131,1381
1631,1881,2131,2381,2631,2881
132,382,632,882,1132,1382
1632,1882,2132,2382,2632,2882
133,383,633,883,1133,1383
1633,1883,2133,2383,2633,2883
134,384,634,884,1134,1384
1634,1884,2134,2384,2634,2884
135,385,635,885,1135,1385
1635,1885,2135,2385,2635,2885
136,386,636,886,1136,1386
1636,1886,2136,2386,2636,2886
137,387,637,887,1137,1387
1637,1887,2137,2387,2637,2887
138,388,638,888,1138,1388
1638,1888,2138,2388,2638,2888
139,389,639,889,1139,1389
1639,1889,2139,2389,2639,2889
140,390,640,890,1140,1390
1640,1890,2140,2390,2640,2890
141,391,641,891,1141,1391
1641,1891,2141,2391,2641,2891
142,392,642,892,1142,1392
1642,1892,2142,2392,2642,2892
143,393,643,893,1143,1393
1643,1893,2143,2393,2643,2893
144,394,644,894,1144,1394
1644,1894,2144,2394,2644,2894
145,395,645,895,1145,1395
1645,1895,2145,2395,2645,2895
146,396,646,896,1146,1396
1646,1896,2146,2396,2646,2896
147,397,647,897,1147,1397
1647,1897,2147,2397,2647,2897
148,398,648,898,1148,1398
1648,1898,2148,2398,2648,2898
149,399,649,899,1149,1399
1649,1899,2149,2399,2649,2899
150,400,650,900,1150,1400
1650,1900,2150,2400,2650,2900
151,401,651,901,1151,1401
1651,1901,2151,2401,2651,2901
152,402,652,902,1152,1402
1652,1902,2152,2402,2652,2902
153,403,653,903,1153,1403
1653,1903,2153,2403,2653,2903
154,404,654,904,1154,1404
1654,1904,2154,2404,2654,2904
155,405,655,905,1155,1405
1655,1905,2155,2405,2655,2905
156,406,656,906,1156,1406
1656,1906,2156,2406,2656,2906
157,407,657,907,1157,1407
1657,1907,2157,2407,2657,2907
158,408,658,908,1158,1408
1658,1908,2158,2408,2658,2908
159,409,659,909,1159,1409
1659,1909,2159,2409,2659,2909
160,410,660,910,1160,1410
1660,1910,2160,2410,2660,2910
161,411,661,911,1161,1411
1661,1911,2161,2411,2661,2911
162,412,662,912,1162,1412
1662,1912,2162,2412,2662,2912
163,413,663,913,1163,1413
1663,1913,2163,2413,2663,2913
164,414,664,914,1164,1414
1664,1914,2164,2414,2664,2914
165,415,665,915,1165,1415
1665,1915,2165,2415,2665,2915
166,416,666,916,1166,1416
1666,1916,2166,2416,2666,2916
167,417,667,917,1167,1417
1667,1917,2167,2417,2667,2917
168,418,668,918,1168,1418
1668,1918,2168,2418,2668,2918
169,419,669,919,1169,1419
1669,1919,2169,2419,2669,2919
170,420,670,920,1170,1420
1670,1920,2170,2420,2670,2920
171,421,671,921,1171,1421
1671,1921,2171,2421,2671,2921
172,422,672,922,1172,1422
1672,1922,2172,2422,2672,2922
173,423,673,923,1173,1423
1673,1923,2173,2423,2673,2923
174,424,674,924,1174,1424
1674,1924,2174,2424,2674,2924
175,425,675,925,1175,1425
1675,1925,2175,2425,2675,2925
176,426,676,926,1176,1426
1676,1926,2176,2426,2676,2926
177,427,677,927,1177,1427
1677,1927,2177,2427,2677,2927
178,428,678,928,1178,1428
1678,1928,2178,2428,2678,2928
179,429,679,929,1179,1429
1679,1929,2179,2429,2679,2929
180,430,680,930,1180,1430
1680,1930,2180,2430,2680,2930
181,431,681,931,1181,1431
1681,1931,2181,2431,2681,2931
182,432,682,932,1182,1432
1682,1932,2182,2432,2682,2932
183,433,683,933,1183,1433
1683,1933,2183,2433,2683,2933
184,434,684,934,1184,1434
1684,1934,2184,2434,2684,2934
185,435,685,935,1185,1435
1685,1935,2185,2435,2685,2935
186,436,686,936,1186,1436
1686,1936,2186,2436,2686,2936
187,437,687,937,1187,1437
1687,1937,2187,2437,2687,2937
188,438,688,938,1188,1438
1688,1938,2188,2438,2688,2938
189,439,689,939,1189,1439
1689,1939,2189,2439,2689,2939
190,440,690,940,1190,1440
1690,1940,2190,2440,2690,2940
191,441,691,941,1191,1441
1691,1941,2191,2441,2691,2941
192,442,692,942,1192,1442
1692,1942,2192,2442,2692,2942
193,443,693,943,1193,1443
1693,1943,2193,2443,2693,2943
194,444,694,944,1194,1444
1694,1944,2194,2444,2694,2944
195,445,695,945,1195,1445
1695,1945,2195,2445,2695,2945
196,446,696,946,1196,1446
1696,1946,2196,2446,2696,2946
197,447,697,947,1197,1447
1697,1947,2197,2447,2697,2947
198,448,698,948,1198,1448
1698,1948,2198,2448,2698,2948
199,449,699,949,1199,1449
1699,1949,2199,2449,2699,2949
200,450,700,950,1200,1450
1700,1950,2200,2450,2700,2950
201,451,701,951,1201,1451
1701,1951,2201,2451,2701,2951
202,452,702,952,1202,1452
1702,1952,2202,2452,2702,2952
203,453,703,953,1203,1453
1703,1953,2203,2453,2703,2953
204,454,704,954,1204,1454
1704,1954,2204,2454,2704,2954
205,455,705,955,1205,1455
1705,1955,2205,2455,2705,2955
206,456,706,956,1206,1456
1706,1956,2206,2456,2706,2956
207,457,707,957,1207,1457
1707,1957,2207,2457,2707,2957
208,458,708,958,1208,1458
1708,1958,2208,2458,2708,2958
209,459,709,959,1209,1459
1709,1959,2209,2459,2709,2959
210,460,710,960,1210,1460
1710,1960,2210,2460,2710,2960
211,461,711,961,1211,1461
1711,1961,2211,2461,2711,2961
212,462,712,962,1212,1462
1712,1962,2212,2462,2712,2962
213,463,713,963,1213,1463
1713,1963,2213,2463,2713,2963
214,464,714,964,1214,1464
1714,1964,2214,2464,2714,2964
215,465,715,965,1215,1465
1715,1965,2215,2465,2715,2965
216,466,716,966,1216,1466
1716,1966,2216,2466,2716,2966
217,467,717,967,1217,1467
1717,1967,2217,2467,2717,2967
218,468,718,968,1218,1468
1718,1968,2218,2468,2718,2968
219,469,719,969,1219,1469
1719,1969,2219,2469,2719,2969
220,470,720,970,1220,1470
1720,1970,2220,2470,2720,2970
221,471,721,971,1221,1471
1721,1971,2221,2471,2721,2971
222,472,722,972,1222,1472
1722,1972,2222,2472,2722,2972
223,473,723,973,1223,1473
1723,1973,2223,2473,2723,2973
224,474,724,974,1224,1474
1724,1974,2224,2474,2724,2974
225,475,725,975,1225,1475
1725,1975,2225,2475,2725,2975
226,476,726,976,1226,1476
1726,1976,2226,2476,2726,2976
227,477,727,977,1227,1477
1727,1977,2227,2477,2727,2977
228,478,728,978,1228,1478
1728,1978,2228,2478,2728,2978
229,479,729,979,1229,1479
1729,1979,2229,2479,2729,2979
230,480,730,980,1230,1480
1730,1980,2230,2480,2730,2980
231,481,731,981,1231,1481
1731,1981,2231,2481,2731,2981
232,482,732,982,1232,1482
1732,1982,2232,2482,2732,2982
233,483,733,983,1233,1483
1733,1983,2233,2483,2733,2983
234,484,734,984,1234,1484
1734,1984,2234,2484,2734,2984
235,485,735,985,1235,1485
1735,1985,2235,2485,2735,2985
236,486,736,986,1236,1486
1736,1986,2236,2486,2736,2986
237,487,737,987,1237,1487
1737,1987,2237,2487,2737,2987
238,488,738,988,1238,1488
1738,1988,2238,2488,2738,2988
239,489,739,989,1239,1489
1739,1989,2239,2489,2739,2989
240,490,740,990,1240,1490
1740,1990,2240,2490,2740,2990
241,491,741,991,1241,1491
1741,1991,2241,2491,2741,2991
242,492,742,992,1242,1492
1742,1992,2242,2492,2742,2992
243,493,743,993,1243,1493
1743,1993,2243,2493,2743,2993
244,494,744,994,1244,1494
1744,1994,2244,2494,2744,2994
245,495,745,995,1245,1495
1745,1995,2245,2495,2745,2995
246,496,746,996,1246,1496
1746,1996,2246,2496,2746,2996
247,497,747,997,1247,1497
1747,1997,2247,2497,2747,2997
248,498,748,998,1248,1498
1748,1998,2248,2498,2748,2998
249,499,749,999,1249,1499
1749,1999,2249,2499,2749,2999
